table,column,dataset_id,predicted_semantic_type
MLB_43,column_41,MLB_43+column_41,X1B
MLB_59,column_37,MLB_59+column_37,SB
MLB_37,column_37,MLB_37+column_37,SO
MLB_44,column_41,MLB_44+column_41,X1B
MLB_29,column_46,MLB_29+column_46,X3B
MLB_1,column_0,MLB_1+column_0,AB
MLB_32,column_48,MLB_32+column_48,iBB
MLB_20,column_32,MLB_20+column_32,SF
MLB_58,column_10,MLB_58+column_10,CS
MLB_10,column_8,MLB_10+column_8,GIDP
Rentabilidad_4,column_57,Rentabilidad_4+column_57,longitude
YaleLanguages_5,column_9,YaleLanguages_5+column_9,year
MLB_33,column_37,MLB_33+column_37,SO
MLB_7,column_25,MLB_7+column_25,X2B
MLB_49,column_20,MLB_49+column_20,HR
MLB_12,column_0,MLB_12+column_0,AB
MLB_36,column_37,MLB_36+column_37,SO
MLB_58,column_21,MLB_58+column_21,HBP
MLB_8,column_8,MLB_8+column_8,GIDP
MLB_60,column_21,MLB_60+column_21,HBP
Rentabilidad_8,column_53,Rentabilidad_8+column_53,latitude
YaleLanguages_4,column_0,YaleLanguages_4+column_0,year
MLB_60,column_10,MLB_60+column_10,CS
MLB_28,column_46,MLB_28+column_46,X3B
MLB_46,column_34,MLB_46+column_34,R
MLB_32,column_4,MLB_32+column_4,BB
MLB_32,column_37,MLB_32+column_37,SO
MLB_62,column_10,MLB_62+column_10,CS
Rentabilidad_3,column_57,Rentabilidad_3+column_57,longitude
MLB_42,column_41,MLB_42+column_41,X1B
MLB_51,column_48,MLB_51+column_48,X3B
MLB_7,column_8,MLB_7+column_8,GIDP
Rentabilidad_7,column_57,Rentabilidad_7+column_57,longitude
MLB_49,column_33,MLB_49+column_33,SH
MLB_59,column_21,MLB_59+column_21,HBP
Rentabilidad_1,column_57,Rentabilidad_1+column_57,longitude
MLB_25,column_46,MLB_25+column_46,X3B
MLB_50,column_20,MLB_50+column_20,HR
Rentabilidad_2,column_55,Rentabilidad_2+column_55,longitude
MLB_33,column_4,MLB_33+column_4,BB
MLB_11,column_8,MLB_11+column_8,GIDP
Rentabilidad_9,column_53,Rentabilidad_9+column_53,latitude
MLB_33,column_48,MLB_33+column_48,iBB
Rentabilidad_1,column_53,Rentabilidad_1+column_53,latitude
Rentabilidad_7,column_53,Rentabilidad_7+column_53,latitude
MLB_14,column_0,MLB_14+column_0,AB
Rentabilidad_3,column_53,Rentabilidad_3+column_53,latitude
MLB_27,column_46,MLB_27+column_46,X3B
MLB_36,column_48,MLB_36+column_48,iBB
MLB_20,column_42,MLB_20+column_42,TB
MLB_37,column_4,MLB_37+column_4,BB
Rentabilidad_5,column_53,Rentabilidad_5+column_53,latitude
MLB_34,column_37,MLB_34+column_37,SO
MLB_62,column_37,MLB_62+column_37,SB
MLB_21,column_42,MLB_21+column_42,TB
MLB_21,column_32,MLB_21+column_32,SF
MLB_26,column_46,MLB_26+column_46,X3B
Rentabilidad_6,column_53,Rentabilidad_6+column_53,latitude
MLB_48,column_34,MLB_48+column_34,R
MLB_49,column_48,MLB_49+column_48,X3B
Rentabilidad_2,column_52,Rentabilidad_2+column_52,latitude
MLB_34,column_4,MLB_34+column_4,BB
Rentabilidad_5,column_57,Rentabilidad_5+column_57,longitude
MLB_61,column_37,MLB_61+column_37,SB
MLB_36,column_4,MLB_36+column_4,BB
MLB_35,column_48,MLB_35+column_48,iBB
MLB_50,column_48,MLB_50+column_48,X3B
MLB_31,column_37,MLB_31+column_37,SO
MLB_45,column_34,MLB_45+column_34,R
MLB_8,column_25,MLB_8+column_25,X2B
Rentabilidad_9,column_57,Rentabilidad_9+column_57,longitude
MLB_58,column_37,MLB_58+column_37,SB
Rentabilidad_6,column_57,Rentabilidad_6+column_57,longitude
