table,column,dataset_id,predicted_semantic_type
MLB_10,column_37,MLB_10+column_37,year
MLB_10,column_24,MLB_10+column_24,X1B
MLB_11,column_24,MLB_11+column_24,X1B
MLB_12,column_45,MLB_12+column_45,year
MLB_13,column_45,MLB_13+column_45,year
MLB_14,column_45,MLB_14+column_45,year
MLB_15,column_0,MLB_15+column_0,AB
MLB_15,column_9,MLB_15+column_9,CS
MLB_15,column_20,MLB_15+column_20,CS
MLB_15,column_37,MLB_15+column_37,SF
MLB_15,column_42,MLB_15+column_42,SO
MLB_16,column_0,MLB_16+column_0,AB
MLB_16,column_9,MLB_16+column_9,CS
MLB_16,column_20,MLB_16+column_20,CS
MLB_17,column_0,MLB_17+column_0,AB
MLB_17,column_20,MLB_17+column_20,CS
MLB_17,column_37,MLB_17+column_37,SF
MLB_17,column_42,MLB_17+column_42,SO
MLB_18,column_9,MLB_18+column_9,CS
MLB_18,column_20,MLB_18+column_20,CS
MLB_18,column_37,MLB_18+column_37,SF
MLB_18,column_42,MLB_18+column_42,SO
MLB_19,column_58,MLB_19+column_58,year
MLB_21,column_58,MLB_21+column_58,year
MLB_22,column_33,MLB_22+column_33,SH
MLB_23,column_58,MLB_23+column_58,year
MLB_24,column_58,MLB_24+column_58,year
MLB_25,column_58,MLB_25+column_58,year
MLB_25,column_20,MLB_25+column_20,HR
MLB_26,column_58,MLB_26+column_58,year
MLB_27,column_58,MLB_27+column_58,year
MLB_27,column_20,MLB_27+column_20,HR
MLB_27,column_21,MLB_27+column_21,H
MLB_28,column_20,MLB_28+column_20,HR
MLB_28,column_21,MLB_28+column_21,H
MLB_29,column_20,MLB_29+column_20,HR
MLB_29,column_21,MLB_29+column_21,H
MLB_31,column_57,MLB_31+column_57,year
MLB_31,column_18,MLB_31+column_18,HBP
MLB_32,column_57,MLB_32+column_57,year
MLB_33,column_57,MLB_33+column_57,year
MLB_34,column_57,MLB_34+column_57,year
MLB_34,column_18,MLB_34+column_18,HBP
MLB_35,column_57,MLB_35+column_57,year
MLB_35,column_18,MLB_35+column_18,HBP
MLB_36,column_57,MLB_36+column_57,year
MLB_37,column_18,MLB_37+column_18,HBP
MLB_38,column_11,MLB_38+column_11,GIDP
MLB_40,column_11,MLB_40+column_11,GIDP
MLB_41,column_55,MLB_41+column_55,year
MLB_42,column_55,MLB_42+column_55,year
MLB_42,column_39,MLB_42+column_39,TB
MLB_43,column_55,MLB_43+column_55,year
MLB_43,column_39,MLB_43+column_39,TB
MLB_44,column_55,MLB_44+column_55,year
MLB_44,column_39,MLB_44+column_39,TB
MLB_45,column_34,MLB_45+column_34,R
MLB_45,column_51,MLB_45+column_51,X3B
MLB_46,column_34,MLB_46+column_34,R
MLB_47,column_51,MLB_47+column_51,X3B
MLB_48,column_34,MLB_48+column_34,R
MLB_49,column_59,MLB_49+column_59,year
MLB_50,column_59,MLB_50+column_59,year
MLB_51,column_59,MLB_51+column_59,year
MLB_52,column_15,MLB_52+column_15,year
MLB_59,column_37,MLB_59+column_37,SB
MLB_59,column_52,MLB_59+column_52,X2B
MLB_60,column_37,MLB_60+column_37,SB
MLB_60,column_52,MLB_60+column_52,X2B
MLB_61,column_37,MLB_61+column_37,SB
MLB_61,column_52,MLB_61+column_52,X2B
MLB_62,column_37,MLB_62+column_37,SB
MLB_62,column_52,MLB_62+column_52,X2B
MLB_64,column_4,MLB_64+column_4,BB
MLB_64,column_54,MLB_64+column_54,iBB
MLB_65,column_4,MLB_65+column_4,BB
MLB_7,column_37,MLB_7+column_37,year
MLB_7,column_24,MLB_7+column_24,X1B
MLB_8,column_37,MLB_8+column_37,year
MLB_8,column_24,MLB_8+column_24,X1B
MLB_9,column_37,MLB_9+column_37,year
Romance_1,column_5,Romance_1+column_5,latitude
Romance_2,column_5,Romance_2+column_5,latitude
