table,column,dataset_id,predicted_semantic_type
soccer-germany-Players-1997-1998,column_5,soccer-germany-Players-1997-1998+column_5,gamesPlayed
soccer-germany-Players-1997-1998,column_8,soccer-germany-Players-1997-1998+column_8,goals
soccer-germany-Players-1997-1998,column_10,soccer-germany-Players-1997-1998+column_10,goals
soccer-big5Leagues-Players-2013-2014,column_5,soccer-big5Leagues-Players-2013-2014+column_5,gamesPlayed
soccer-big5Leagues-Players-2013-2014,column_7,soccer-big5Leagues-Players-2013-2014+column_7,gamesPlayed
soccer-big5Leagues-Players-2013-2014,column_8,soccer-big5Leagues-Players-2013-2014+column_8,goals
soccer-big5Leagues-Players-2013-2014,column_9,soccer-big5Leagues-Players-2013-2014+column_9,assists
soccer-big5Leagues-Players-2013-2014,column_10,soccer-big5Leagues-Players-2013-2014+column_10,xGoalsPer90Min
soccer-big5Leagues-Players-2013-2014,column_11,soccer-big5Leagues-Players-2013-2014+column_11,penaltiesAttempted
soccer-big5Leagues-Players-2013-2014,column_12,soccer-big5Leagues-Players-2013-2014+column_12,penaltiesScored
soccer-big5Leagues-Players-2013-2014,column_14,soccer-big5Leagues-Players-2013-2014+column_14,redCards
soccer-big5Leagues-Players-2014-2015,column_7,soccer-big5Leagues-Players-2014-2015+column_7,gamesPlayed
soccer-big5Leagues-Players-2014-2015,column_8,soccer-big5Leagues-Players-2014-2015+column_8,xGoalsPer90Min
soccer-big5Leagues-Players-2014-2015,column_10,soccer-big5Leagues-Players-2014-2015+column_10,xGoalsPer90Min
soccer-big5Leagues-Players-2014-2015,column_14,soccer-big5Leagues-Players-2014-2015+column_14,redCards
soccer-germany-Players-1998-1999,column_8,soccer-germany-Players-1998-1999+column_8,nonPenaltyXGoalsPer90Min
soccer-germany-Players-1998-1999,column_11,soccer-germany-Players-1998-1999+column_11,penaltiesAttempted
soccer-big5Leagues-Players-2015-2016,column_7,soccer-big5Leagues-Players-2015-2016+column_7,gamesPlayed
soccer-big5Leagues-Players-2015-2016,column_8,soccer-big5Leagues-Players-2015-2016+column_8,xGoalsPer90Min
soccer-big5Leagues-Players-2015-2016,column_9,soccer-big5Leagues-Players-2015-2016+column_9,assists
soccer-big5Leagues-Players-2015-2016,column_10,soccer-big5Leagues-Players-2015-2016+column_10,xGoalsPer90Min
soccer-big5Leagues-Players-2015-2016,column_11,soccer-big5Leagues-Players-2015-2016+column_11,penaltiesAttempted
soccer-big5Leagues-Players-2015-2016,column_12,soccer-big5Leagues-Players-2015-2016+column_12,penaltiesScored
soccer-big5Leagues-Players-2015-2016,column_14,soccer-big5Leagues-Players-2015-2016+column_14,redCards
soccer-big5Leagues-Players-2016-2017,column_7,soccer-big5Leagues-Players-2016-2017+column_7,gamesPlayed
soccer-big5Leagues-Players-2016-2017,column_8,soccer-big5Leagues-Players-2016-2017+column_8,xGoalsPer90Min
soccer-big5Leagues-Players-2016-2017,column_9,soccer-big5Leagues-Players-2016-2017+column_9,assists
soccer-big5Leagues-Players-2016-2017,column_10,soccer-big5Leagues-Players-2016-2017+column_10,xGoalsPer90Min
soccer-big5Leagues-Players-2016-2017,column_11,soccer-big5Leagues-Players-2016-2017+column_11,penaltiesAttempted
soccer-big5Leagues-Players-2016-2017,column_12,soccer-big5Leagues-Players-2016-2017+column_12,penaltiesScored
soccer-big5Leagues-Players-2016-2017,column_14,soccer-big5Leagues-Players-2016-2017+column_14,redCards
soccer-germany-Players-1999-2000,column_10,soccer-germany-Players-1999-2000+column_10,goals
soccer-germany-Players-1999-2000,column_11,soccer-germany-Players-1999-2000+column_11,penaltiesScored
soccer-germany-Players-1999-2000,column_12,soccer-germany-Players-1999-2000+column_12,penaltiesScored
soccer-germany-Players-1999-2000,column_14,soccer-germany-Players-1999-2000+column_14,redCards
soccer-big5Leagues-Players-2017-2018,column_7,soccer-big5Leagues-Players-2017-2018+column_7,gamesPlayed
soccer-big5Leagues-Players-2017-2018,column_9,soccer-big5Leagues-Players-2017-2018+column_9,assists
soccer-big5Leagues-Players-2017-2018,column_10,soccer-big5Leagues-Players-2017-2018+column_10,xGoalsPer90Min
soccer-big5Leagues-Players-2017-2018,column_11,soccer-big5Leagues-Players-2017-2018+column_11,penaltiesAttempted
soccer-big5Leagues-Players-2017-2018,column_12,soccer-big5Leagues-Players-2017-2018+column_12,penaltiesScored
soccer-big5Leagues-Players-2017-2018,column_14,soccer-big5Leagues-Players-2017-2018+column_14,redCards
soccer-big5Leagues-Players-2017-2018,column_20,soccer-big5Leagues-Players-2017-2018+column_20,xGoalsPer90Min
soccer-big5Leagues-Players-2017-2018,column_23,soccer-big5Leagues-Players-2017-2018+column_23,nonPenaltyXGoalsPlusAssists
soccer-big5Leagues-Players-2017-2018,column_26,soccer-big5Leagues-Players-2017-2018+column_26,xGoalsPlusAssistsPer90Min
soccer-big5Leagues-Players-2018-2019,column_7,soccer-big5Leagues-Players-2018-2019+column_7,gamesPlayed
soccer-big5Leagues-Players-2018-2019,column_8,soccer-big5Leagues-Players-2018-2019+column_8,xGoalsPer90Min
soccer-big5Leagues-Players-2018-2019,column_9,soccer-big5Leagues-Players-2018-2019+column_9,assists
soccer-big5Leagues-Players-2018-2019,column_10,soccer-big5Leagues-Players-2018-2019+column_10,xGoalsPer90Min
soccer-big5Leagues-Players-2018-2019,column_11,soccer-big5Leagues-Players-2018-2019+column_11,penaltiesScored
