table,column,dataset_id,semanticType,predicted_semantic_type
TrainsUK2_1,column_2,TrainsUK2_1+column_2,year,None
TrainsUK2_2,column_2,TrainsUK2_2+column_2,year,None
YaleLanguages_1,column_0,YaleLanguages_1+column_0,year,year
YaleLanguages_1,column_9,YaleLanguages_1+column_9,year,year
YaleLanguages_2,column_9,YaleLanguages_2+column_9,year,year
YaleLanguages_3,column_0,YaleLanguages_3+column_0,year,year
YaleLanguages_3,column_9,YaleLanguages_3+column_9,year,year
YaleLanguages_4,column_0,YaleLanguages_4+column_0,year,year
Rentabilidad_2,column_52,Rentabilidad_2+column_52,latitude,latitude
Rentabilidad_2,column_55,Rentabilidad_2+column_55,longitude,longitude
Rentabilidad_3,column_53,Rentabilidad_3+column_53,latitude,latitude
Rentabilidad_3,column_57,Rentabilidad_3+column_57,longitude,longitude
Rentabilidad_4,column_57,Rentabilidad_4+column_57,longitude,longitude
Rentabilidad_6,column_53,Rentabilidad_6+column_53,latitude,latitude
Rentabilidad_6,column_57,Rentabilidad_6+column_57,longitude,longitude
Rentabilidad_7,column_53,Rentabilidad_7+column_53,latitude,latitude
Rentabilidad_7,column_57,Rentabilidad_7+column_57,longitude,longitude
TableroSistemaPenal_1,column_17,TableroSistemaPenal_1+column_17,latitude,iBB
TableroSistemaPenal_7,column_17,TableroSistemaPenal_7+column_17,latitude,iBB
