table,column,dataset_id,semanticType,predicted_semantic_type
CityMaxCapita_1,column_15,CityMaxCapita_1+column_15,latitude,None
CityMaxCapita_1,column_18,CityMaxCapita_1+column_18,longitude,None
CommonGovernment_1,column_55,CommonGovernment_1+column_55,year,year
CommonGovernment_11,column_55,CommonGovernment_11+column_55,year,year
CommonGovernment_12,column_55,CommonGovernment_12+column_55,year,year
CommonGovernment_13,column_55,CommonGovernment_13+column_55,year,year
CommonGovernment_4,column_55,CommonGovernment_4+column_55,year,year
CommonGovernment_5,column_55,CommonGovernment_5+column_55,year,year
CommonGovernment_6,column_55,CommonGovernment_6+column_55,year,year
CommonGovernment_7,column_55,CommonGovernment_7+column_55,year,year
CommonGovernment_8,column_55,CommonGovernment_8+column_55,year,year
Hatred_1,column_16,Hatred_1+column_16,latitude,None
Hatred_1,column_19,Hatred_1+column_19,longitude,None
IUBLibrary_1,column_17,IUBLibrary_1+column_17,year,None
MLB_1,column_45,MLB_1+column_45,year,year
MLB_1,column_0,MLB_1+column_0,AB,AB
MLB_1,column_4,MLB_1+column_4,BB,None
MLB_1,column_10,MLB_1+column_10,GIDP,HBP
MLB_1,column_11,MLB_1+column_11,HBP,None
MLB_1,column_12,MLB_1+column_12,HR,HR
MLB_1,column_13,MLB_1+column_13,H,SO
MLB_1,column_23,MLB_1+column_23,SF,SF
MLB_1,column_28,MLB_1+column_28,SO,SO
MLB_1,column_29,MLB_1+column_29,TB,SO
MLB_1,column_30,MLB_1+column_30,X1B,X1B
MLB_1,column_32,MLB_1+column_32,X3B,SH
MLB_1,column_35,MLB_1+column_35,iBB,None
MLB_10,column_37,MLB_10+column_37,year,year
MLB_10,column_0,MLB_10+column_0,AB,SO
MLB_10,column_8,MLB_10+column_8,GIDP,GIDP
MLB_10,column_9,MLB_10+column_9,HBP,None
MLB_10,column_10,MLB_10+column_10,HR,SO
MLB_10,column_11,MLB_10+column_11,H,SB
MLB_10,column_20,MLB_10+column_20,SF,SH
MLB_10,column_21,MLB_10+column_21,SH,SH
MLB_10,column_23,MLB_10+column_23,TB,X1B
MLB_10,column_24,MLB_10+column_24,X1B,SB
MLB_10,column_26,MLB_10+column_26,X3B,X3B
MLB_11,column_37,MLB_11+column_37,year,year
MLB_11,column_9,MLB_11+column_9,HBP,None
MLB_11,column_10,MLB_11+column_10,HR,SO
MLB_11,column_21,MLB_11+column_21,SH,SH
MLB_11,column_26,MLB_11+column_26,X3B,X3B
MLB_12,column_45,MLB_12+column_45,year,year
MLB_12,column_0,MLB_12+column_0,AB,AB
MLB_12,column_4,MLB_12+column_4,BB,None
MLB_12,column_10,MLB_12+column_10,GIDP,HBP
MLB_12,column_12,MLB_12+column_12,HR,HR
MLB_12,column_13,MLB_12+column_13,H,SO
MLB_12,column_23,MLB_12+column_23,SF,SF
MLB_12,column_28,MLB_12+column_28,SO,SO
MLB_12,column_29,MLB_12+column_29,TB,SO
MLB_12,column_30,MLB_12+column_30,X1B,X1B
MLB_12,column_31,MLB_12+column_31,X2B,HBP
MLB_12,column_32,MLB_12+column_32,X3B,SH
MLB_13,column_45,MLB_13+column_45,year,year
MLB_13,column_11,MLB_13+column_11,HBP,None
MLB_13,column_12,MLB_13+column_12,HR,HR
MLB_13,column_13,MLB_13+column_13,H,SO
MLB_13,column_23,MLB_13+column_23,SF,SF
MLB_13,column_24,MLB_13+column_24,SH,SH
MLB_13,column_30,MLB_13+column_30,X1B,X1B
MLB_13,column_31,MLB_13+column_31,X2B,HBP
MLB_13,column_32,MLB_13+column_32,X3B,SH
MLB_13,column_35,MLB_13+column_35,iBB,None
MLB_14,column_45,MLB_14+column_45,year,year
MLB_14,column_0,MLB_14+column_0,AB,AB
MLB_14,column_4,MLB_14+column_4,BB,None
MLB_14,column_13,MLB_14+column_13,H,SO
MLB_14,column_23,MLB_14+column_23,SF,SF
MLB_14,column_24,MLB_14+column_24,SH,SH
MLB_14,column_28,MLB_14+column_28,SO,SO
MLB_14,column_29,MLB_14+column_29,TB,SO
MLB_14,column_31,MLB_14+column_31,X2B,HBP
MLB_14,column_32,MLB_14+column_32,X3B,SH
MLB_14,column_35,MLB_14+column_35,iBB,None
MLB_15,column_65,MLB_15+column_65,year,year
MLB_15,column_0,MLB_15+column_0,AB,TB
MLB_15,column_4,MLB_15+column_4,BB,HBP
MLB_15,column_9,MLB_15+column_9,CS,CS
MLB_15,column_19,MLB_15+column_19,GIDP,SF
MLB_15,column_20,MLB_15+column_20,HBP,CS
MLB_15,column_22,MLB_15+column_22,H,BB
MLB_15,column_37,MLB_15+column_37,SF,SF
MLB_15,column_38,MLB_15+column_38,SH,SF
MLB_15,column_42,MLB_15+column_42,SO,H
MLB_15,column_50,MLB_15+column_50,X2B,HBP
MLB_15,column_53,MLB_15+column_53,iBB,iBB
MLB_16,column_0,MLB_16+column_0,AB,TB
MLB_16,column_4,MLB_16+column_4,BB,HBP
MLB_16,column_9,MLB_16+column_9,CS,CS
MLB_16,column_20,MLB_16+column_20,HBP,CS
MLB_16,column_21,MLB_16+column_21,HR,SF
MLB_16,column_22,MLB_16+column_22,H,BB
MLB_16,column_34,MLB_16+column_34,R,None
MLB_16,column_36,MLB_16+column_36,SB,X3B
MLB_16,column_38,MLB_16+column_38,SH,SF
MLB_16,column_47,MLB_16+column_47,TB,X1B
MLB_16,column_49,MLB_16+column_49,X1B,H
MLB_16,column_50,MLB_16+column_50,X2B,HBP
MLB_16,column_51,MLB_16+column_51,X3B,SF
MLB_16,column_53,MLB_16+column_53,iBB,iBB
MLB_17,column_65,MLB_17+column_65,year,year
MLB_17,column_0,MLB_17+column_0,AB,TB
MLB_17,column_4,MLB_17+column_4,BB,HBP
MLB_17,column_9,MLB_17+column_9,CS,CS
MLB_17,column_19,MLB_17+column_19,GIDP,SF
MLB_17,column_20,MLB_17+column_20,HBP,CS
MLB_17,column_34,MLB_17+column_34,R,None
MLB_17,column_36,MLB_17+column_36,SB,X3B
MLB_17,column_38,MLB_17+column_38,SH,SF
MLB_17,column_42,MLB_17+column_42,SO,H
MLB_17,column_47,MLB_17+column_47,TB,X1B
MLB_17,column_50,MLB_17+column_50,X2B,HBP
MLB_17,column_51,MLB_17+column_51,X3B,SF
MLB_17,column_53,MLB_17+column_53,iBB,iBB
MLB_18,column_65,MLB_18+column_65,year,year
MLB_18,column_0,MLB_18+column_0,AB,TB
MLB_18,column_4,MLB_18+column_4,BB,HBP
MLB_18,column_20,MLB_18+column_20,HBP,CS
MLB_18,column_21,MLB_18+column_21,HR,SF
MLB_18,column_22,MLB_18+column_22,H,BB
MLB_18,column_34,MLB_18+column_34,R,None
MLB_18,column_36,MLB_18+column_36,SB,X3B
MLB_18,column_38,MLB_18+column_38,SH,SF
MLB_18,column_42,MLB_18+column_42,SO,H
MLB_18,column_47,MLB_18+column_47,TB,X1B
MLB_18,column_49,MLB_18+column_49,X1B,H
MLB_18,column_50,MLB_18+column_50,X2B,HBP
MLB_18,column_51,MLB_18+column_51,X3B,SF
MLB_18,column_53,MLB_18+column_53,iBB,iBB
MLB_19,column_58,MLB_19+column_58,year,year
MLB_19,column_0,MLB_19+column_0,AB,AB
MLB_19,column_18,MLB_19+column_18,GIDP,HBP
MLB_19,column_19,MLB_19+column_19,HBP,SH
MLB_19,column_20,MLB_19+column_20,HR,HR
MLB_19,column_21,MLB_19+column_21,H,H
MLB_19,column_33,MLB_19+column_33,SH,SH
MLB_19,column_37,MLB_19+column_37,SO,H
MLB_19,column_44,MLB_19+column_44,X1B,X1B
MLB_19,column_45,MLB_19+column_45,X2B,CS
MLB_19,column_48,MLB_19+column_48,iBB,iBB
MLB_2,column_22,MLB_2+column_22,year,year
MLB_20,column_58,MLB_20+column_58,year,year
MLB_20,column_0,MLB_20+column_0,AB,AB
MLB_20,column_4,MLB_20+column_4,BB,SB
MLB_20,column_18,MLB_20+column_18,GIDP,HBP
MLB_20,column_19,MLB_20+column_19,HBP,SH
MLB_20,column_20,MLB_20+column_20,HR,HR
MLB_20,column_21,MLB_20+column_21,H,H
MLB_20,column_32,MLB_20+column_32,SF,SF
MLB_20,column_33,MLB_20+column_33,SH,SH
MLB_20,column_37,MLB_20+column_37,SO,H
MLB_20,column_42,MLB_20+column_42,TB,TB
MLB_20,column_44,MLB_20+column_44,X1B,X1B
MLB_20,column_45,MLB_20+column_45,X2B,CS
MLB_20,column_48,MLB_20+column_48,iBB,iBB
MLB_21,column_58,MLB_21+column_58,year,year
MLB_21,column_0,MLB_21+column_0,AB,AB
MLB_21,column_4,MLB_21+column_4,BB,SB
MLB_21,column_18,MLB_21+column_18,GIDP,HBP
MLB_21,column_20,MLB_21+column_20,HR,HR
MLB_21,column_32,MLB_21+column_32,SF,SF
MLB_21,column_42,MLB_21+column_42,TB,TB
MLB_21,column_44,MLB_21+column_44,X1B,X1B
MLB_21,column_45,MLB_21+column_45,X2B,CS
MLB_21,column_48,MLB_21+column_48,iBB,iBB
MLB_22,column_0,MLB_22+column_0,AB,SO
MLB_22,column_4,MLB_22+column_4,BB,BB
MLB_22,column_18,MLB_22+column_18,GIDP,CS
MLB_22,column_20,MLB_22+column_20,HR,CS
MLB_22,column_32,MLB_22+column_32,SF,X3B
MLB_22,column_33,MLB_22+column_33,SH,X3B
MLB_22,column_42,MLB_22+column_42,TB,BB
MLB_22,column_44,MLB_22+column_44,X1B,HR
MLB_22,column_45,MLB_22+column_45,X2B,SH
MLB_22,column_46,MLB_22+column_46,X3B,X3B
MLB_23,column_58,MLB_23+column_58,year,year
MLB_23,column_20,MLB_23+column_20,HR,CS
MLB_23,column_32,MLB_23+column_32,SF,X3B
MLB_23,column_33,MLB_23+column_33,SH,X3B
MLB_23,column_37,MLB_23+column_37,SO,H
MLB_23,column_42,MLB_23+column_42,TB,BB
MLB_23,column_44,MLB_23+column_44,X1B,HR
MLB_23,column_45,MLB_23+column_45,X2B,SH
MLB_23,column_46,MLB_23+column_46,X3B,X3B
MLB_24,column_58,MLB_24+column_58,year,year
MLB_24,column_4,MLB_24+column_4,BB,BB
MLB_24,column_18,MLB_24+column_18,GIDP,CS
MLB_24,column_19,MLB_24+column_19,HBP,HBP
MLB_24,column_32,MLB_24+column_32,SF,X3B
MLB_24,column_33,MLB_24+column_33,SH,X3B
