table,column,dataset_id,semanticType,predicted_semantic_type
CommonGovernment_1,column_55,CommonGovernment_1+column_55,year,None
CommonGovernment_10,column_55,CommonGovernment_10+column_55,year,None
CommonGovernment_11,column_55,CommonGovernment_11+column_55,year,None
CommonGovernment_13,column_55,CommonGovernment_13+column_55,year,None
CommonGovernment_2,column_55,CommonGovernment_2+column_55,year,None
CommonGovernment_3,column_55,CommonGovernment_3+column_55,year,None
CommonGovernment_4,column_55,CommonGovernment_4+column_55,year,None
CommonGovernment_6,column_55,CommonGovernment_6+column_55,year,None
CommonGovernment_7,column_55,CommonGovernment_7+column_55,year,None
CommonGovernment_8,column_55,CommonGovernment_8+column_55,year,None
CommonGovernment_9,column_55,CommonGovernment_9+column_55,year,None
Hatred_1,column_16,Hatred_1+column_16,latitude,None
Hatred_1,column_19,Hatred_1+column_19,longitude,None
MLB_1,column_0,MLB_1+column_0,AB,None
MLB_1,column_10,MLB_1+column_10,GIDP,None
MLB_1,column_12,MLB_1+column_12,HR,None
MLB_1,column_24,MLB_1+column_24,SH,None
MLB_1,column_28,MLB_1+column_28,SO,None
MLB_1,column_29,MLB_1+column_29,TB,None
MLB_1,column_31,MLB_1+column_31,X2B,None
MLB_1,column_32,MLB_1+column_32,X3B,None
MLB_1,column_35,MLB_1+column_35,iBB,None
MLB_10,column_37,MLB_10+column_37,year,year
MLB_10,column_0,MLB_10+column_0,AB,None
MLB_10,column_8,MLB_10+column_8,GIDP,None
MLB_10,column_9,MLB_10+column_9,HBP,None
MLB_10,column_10,MLB_10+column_10,HR,HR
MLB_10,column_11,MLB_10+column_11,H,None
MLB_10,column_21,MLB_10+column_21,SH,None
MLB_10,column_24,MLB_10+column_24,X1B,X1B
MLB_10,column_26,MLB_10+column_26,X3B,None
MLB_11,column_8,MLB_11+column_8,GIDP,None
MLB_11,column_9,MLB_11+column_9,HBP,None
MLB_11,column_10,MLB_11+column_10,HR,HR
MLB_11,column_11,MLB_11+column_11,H,None
MLB_11,column_20,MLB_11+column_20,SF,None
MLB_11,column_21,MLB_11+column_21,SH,None
MLB_11,column_23,MLB_11+column_23,TB,None
MLB_11,column_24,MLB_11+column_24,X1B,X1B
MLB_11,column_25,MLB_11+column_25,X2B,None
MLB_11,column_26,MLB_11+column_26,X3B,None
MLB_12,column_45,MLB_12+column_45,year,year
MLB_12,column_0,MLB_12+column_0,AB,None
MLB_12,column_4,MLB_12+column_4,BB,None
MLB_12,column_10,MLB_12+column_10,GIDP,None
MLB_12,column_11,MLB_12+column_11,HBP,None
MLB_12,column_12,MLB_12+column_12,HR,None
MLB_12,column_13,MLB_12+column_13,H,None
MLB_12,column_24,MLB_12+column_24,SH,None
MLB_12,column_28,MLB_12+column_28,SO,None
MLB_12,column_29,MLB_12+column_29,TB,None
MLB_12,column_30,MLB_12+column_30,X1B,X1B
MLB_12,column_31,MLB_12+column_31,X2B,None
MLB_12,column_32,MLB_12+column_32,X3B,None
MLB_13,column_45,MLB_13+column_45,year,year
MLB_13,column_0,MLB_13+column_0,AB,None
MLB_13,column_4,MLB_13+column_4,BB,None
MLB_13,column_11,MLB_13+column_11,HBP,None
MLB_13,column_12,MLB_13+column_12,HR,None
MLB_13,column_13,MLB_13+column_13,H,None
MLB_13,column_29,MLB_13+column_29,TB,None
MLB_13,column_32,MLB_13+column_32,X3B,None
MLB_13,column_35,MLB_13+column_35,iBB,None
MLB_14,column_45,MLB_14+column_45,year,year
MLB_14,column_4,MLB_14+column_4,BB,None
MLB_14,column_10,MLB_14+column_10,GIDP,None
MLB_14,column_11,MLB_14+column_11,HBP,None
MLB_14,column_13,MLB_14+column_13,H,None
MLB_14,column_23,MLB_14+column_23,SF,SF
MLB_14,column_24,MLB_14+column_24,SH,None
MLB_14,column_29,MLB_14+column_29,TB,None
MLB_14,column_30,MLB_14+column_30,X1B,X1B
MLB_14,column_32,MLB_14+column_32,X3B,None
MLB_15,column_65,MLB_15+column_65,year,None
MLB_15,column_0,MLB_15+column_0,AB,AB
MLB_15,column_4,MLB_15+column_4,BB,None
MLB_15,column_20,MLB_15+column_20,HBP,CS
MLB_15,column_21,MLB_15+column_21,HR,None
MLB_15,column_22,MLB_15+column_22,H,None
MLB_15,column_34,MLB_15+column_34,R,R
MLB_15,column_36,MLB_15+column_36,SB,None
MLB_15,column_37,MLB_15+column_37,SF,SF
MLB_15,column_38,MLB_15+column_38,SH,None
MLB_15,column_42,MLB_15+column_42,SO,SO
MLB_15,column_47,MLB_15+column_47,TB,None
MLB_15,column_49,MLB_15+column_49,X1B,None
MLB_15,column_50,MLB_15+column_50,X2B,X2B
MLB_15,column_51,MLB_15+column_51,X3B,None
MLB_15,column_53,MLB_15+column_53,iBB,None
MLB_16,column_0,MLB_16+column_0,AB,AB
MLB_16,column_9,MLB_16+column_9,CS,CS
MLB_16,column_20,MLB_16+column_20,HBP,CS
MLB_16,column_21,MLB_16+column_21,HR,None
MLB_16,column_22,MLB_16+column_22,H,None
MLB_16,column_34,MLB_16+column_34,R,R
MLB_16,column_36,MLB_16+column_36,SB,None
MLB_16,column_47,MLB_16+column_47,TB,None
MLB_16,column_49,MLB_16+column_49,X1B,None
MLB_16,column_53,MLB_16+column_53,iBB,None
MLB_17,column_65,MLB_17+column_65,year,None
MLB_17,column_4,MLB_17+column_4,BB,None
MLB_17,column_20,MLB_17+column_20,HBP,CS
MLB_17,column_21,MLB_17+column_21,HR,None
MLB_17,column_22,MLB_17+column_22,H,None
MLB_17,column_36,MLB_17+column_36,SB,None
MLB_17,column_37,MLB_17+column_37,SF,SF
MLB_17,column_42,MLB_17+column_42,SO,SO
MLB_17,column_47,MLB_17+column_47,TB,None
MLB_17,column_49,MLB_17+column_49,X1B,None
MLB_17,column_50,MLB_17+column_50,X2B,X2B
MLB_17,column_53,MLB_17+column_53,iBB,None
MLB_18,column_65,MLB_18+column_65,year,None
MLB_18,column_4,MLB_18+column_4,BB,None
