table,column,dataset_id,semanticType,predicted_semantic_type
soccer-germany-Players-1997-1998,column_4,soccer-germany-Players-1997-1998+column_4,gamesPlayed,None
soccer-germany-Players-1997-1998,column_5,soccer-germany-Players-1997-1998+column_5,gamesPlayed,None
soccer-germany-Players-1997-1998,column_6,soccer-germany-Players-1997-1998+column_6,minutesPlayed,minutesPlayed
soccer-germany-Players-1997-1998,column_7,soccer-germany-Players-1997-1998+column_7,gamesPlayed,None
soccer-germany-Players-1997-1998,column_8,soccer-germany-Players-1997-1998+column_8,goals,goals
soccer-germany-Players-1997-1998,column_9,soccer-germany-Players-1997-1998+column_9,assists,None
soccer-germany-Players-1997-1998,column_10,soccer-germany-Players-1997-1998+column_10,goals,goals
soccer-germany-Players-1997-1998,column_11,soccer-germany-Players-1997-1998+column_11,penaltiesScored,penaltiesScored
soccer-germany-Players-1997-1998,column_13,soccer-germany-Players-1997-1998+column_13,yellowCards,yellowCards
soccer-germany-Players-1997-1998,column_14,soccer-germany-Players-1997-1998+column_14,redCards,redCards
soccer-germany-Players-1997-1998,column_17,soccer-germany-Players-1997-1998+column_17,goalsPlusAssistsPer90Min,None
soccer-germany-Players-1997-1998,column_19,soccer-germany-Players-1997-1998+column_19,goalsPlusAssistsPer90Min,None
soccer-big5Leagues-Players-2013-2014,column_3,soccer-big5Leagues-Players-2013-2014+column_3,age,age
soccer-big5Leagues-Players-2013-2014,column_4,soccer-big5Leagues-Players-2013-2014+column_4,gamesPlayed,None
soccer-big5Leagues-Players-2013-2014,column_5,soccer-big5Leagues-Players-2013-2014+column_5,gamesPlayed,gamesPlayed
soccer-big5Leagues-Players-2013-2014,column_6,soccer-big5Leagues-Players-2013-2014+column_6,minutesPlayed,minutesPlayed
soccer-big5Leagues-Players-2013-2014,column_7,soccer-big5Leagues-Players-2013-2014+column_7,gamesPlayed,gamesPlayed
soccer-big5Leagues-Players-2013-2014,column_8,soccer-big5Leagues-Players-2013-2014+column_8,goals,goals
soccer-big5Leagues-Players-2013-2014,column_9,soccer-big5Leagues-Players-2013-2014+column_9,assists,assists
soccer-big5Leagues-Players-2013-2014,column_12,soccer-big5Leagues-Players-2013-2014+column_12,penaltiesAttempted,penaltiesScored
soccer-big5Leagues-Players-2013-2014,column_14,soccer-big5Leagues-Players-2013-2014+column_14,redCards,redCards
soccer-big5Leagues-Players-2013-2014,column_17,soccer-big5Leagues-Players-2013-2014+column_17,goalsPlusAssistsPer90Min,goalsPlusAssistsPer90Min
soccer-big5Leagues-Players-2014-2015,column_4,soccer-big5Leagues-Players-2014-2015+column_4,gamesPlayed,gamesPlayed
soccer-big5Leagues-Players-2014-2015,column_5,soccer-big5Leagues-Players-2014-2015+column_5,gamesPlayed,None
soccer-big5Leagues-Players-2014-2015,column_6,soccer-big5Leagues-Players-2014-2015+column_6,minutesPlayed,minutesPlayed
soccer-big5Leagues-Players-2014-2015,column_7,soccer-big5Leagues-Players-2014-2015+column_7,gamesPlayed,gamesPlayed
soccer-big5Leagues-Players-2014-2015,column_8,soccer-big5Leagues-Players-2014-2015+column_8,goals,goals
soccer-big5Leagues-Players-2014-2015,column_9,soccer-big5Leagues-Players-2014-2015+column_9,assists,assists
soccer-big5Leagues-Players-2014-2015,column_10,soccer-big5Leagues-Players-2014-2015+column_10,goals,goals
soccer-big5Leagues-Players-2014-2015,column_11,soccer-big5Leagues-Players-2014-2015+column_11,penaltiesScored,penaltiesScored
soccer-big5Leagues-Players-2014-2015,column_12,soccer-big5Leagues-Players-2014-2015+column_12,penaltiesAttempted,penaltiesScored
soccer-big5Leagues-Players-2014-2015,column_19,soccer-big5Leagues-Players-2014-2015+column_19,goalsPlusAssistsPer90Min,goalsPlusAssistsPer90Min
soccer-germany-Players-1998-1999,column_3,soccer-germany-Players-1998-1999+column_3,age,None
soccer-germany-Players-1998-1999,column_4,soccer-germany-Players-1998-1999+column_4,gamesPlayed,None
soccer-germany-Players-1998-1999,column_6,soccer-germany-Players-1998-1999+column_6,minutesPlayed,minutesPlayed
soccer-germany-Players-1998-1999,column_8,soccer-germany-Players-1998-1999+column_8,goals,goals
